
2021/12/30 (17:44:21) | ===> btop++ v.1.1.4
2021/12/30 (17:44:21) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2021/12/30 (17:44:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/30 (18:22:04) | ===> btop++ v.1.1.4
2021/12/30 (18:22:04) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2021/12/30 (18:22:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/06 (23:11:25) | ===> btop++ v.1.1.4
2022/01/06 (23:11:25) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/06 (23:11:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/06 (23:12:29) | ===> btop++ v.1.1.4
2022/01/06 (23:12:29) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/06 (23:12:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/09 (21:32:12) | ===> btop++ v.1.1.4
2022/01/09 (21:32:12) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/09 (21:32:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/10 (12:20:35) | ===> btop++ v.1.1.4
2022/01/10 (12:20:35) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/10 (12:20:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2022/01/10 (12:24:06) | INFO: Logger set to INFO
2022/01/10 (12:24:06) | INFO: Logger set to DEBUG
2022/01/10 (12:24:07) | INFO: Logger set to INFO
2022/01/10 (12:24:07) | INFO: Logger set to DEBUG
2022/01/10 (12:24:07) | INFO: Logger set to INFO
2022/01/10 (12:24:08) | INFO: Logger set to INFO

2022/01/10 (12:24:26) | ===> btop++ v.1.1.4
2022/01/10 (12:24:26) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/10 (12:24:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/12 (13:23:44) | ===> btop++ v.1.1.4
2022/01/12 (13:23:44) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/12 (13:23:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/14 (01:18:52) | ===> btop++ v.1.1.4
2022/01/14 (01:18:52) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/14 (01:18:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2022/01/14 (01:20:09) | ERROR: Stall in Runner thread, restarting!
2022/01/14 (01:22:02) | ERROR: Stall in Runner thread, restarting!
2022/01/14 (01:22:18) | ERROR: Stall in Runner thread, restarting!
2022/01/14 (01:23:10) | ERROR: Stall in Runner thread, restarting!
2022/01/14 (01:24:57) | ERROR: Stall in Runner thread, restarting!
2022/01/14 (01:25:08) | ERROR: Stall in Runner thread, restarting!
2022/01/14 (01:26:07) | ERROR: Stall in Runner thread, restarting!
2022/01/14 (01:26:43) | ERROR: Stall in Runner thread, restarting!
2022/01/14 (01:32:20) | ERROR: Stall in Runner thread, restarting!

2022/01/14 (01:32:57) | ===> btop++ v.1.1.4
2022/01/14 (01:32:57) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/14 (01:32:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/14 (01:44:59) | ===> btop++ v.1.1.4
2022/01/14 (01:44:59) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/14 (01:44:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/14 (13:58:31) | ===> btop++ v.1.1.4
2022/01/14 (13:58:31) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/14 (13:58:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/14 (22:40:00) | ===> btop++ v.1.1.4
2022/01/14 (22:40:00) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/14 (22:40:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/14 (23:34:23) | ===> btop++ v.1.1.4
2022/01/14 (23:34:23) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/14 (23:34:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/14 (23:39:27) | ===> btop++ v.1.1.4
2022/01/14 (23:39:27) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/14 (23:39:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/15 (20:45:22) | ===> btop++ v.1.1.4
2022/01/15 (20:45:22) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/15 (20:45:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/15 (21:05:32) | ===> btop++ v.1.1.4
2022/01/15 (21:05:32) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/15 (21:05:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/15 (21:19:39) | ===> btop++ v.1.1.4
2022/01/15 (21:19:39) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/15 (21:19:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/17 (21:26:17) | ===> btop++ v.1.1.4
2022/01/17 (21:26:17) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/17 (21:26:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/17 (22:19:39) | ===> btop++ v.1.1.4
2022/01/17 (22:19:39) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/17 (22:19:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2022/01/17 (23:04:28) | ERROR: Stall in Runner thread, restarting!

2022/01/17 (23:07:50) | ===> btop++ v.1.1.4
2022/01/17 (23:07:50) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/17 (23:07:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/17 (23:40:48) | ===> btop++ v.1.1.4
2022/01/17 (23:40:48) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/17 (23:40:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/18 (14:45:23) | ===> btop++ v.1.1.4
2022/01/18 (14:45:23) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/18 (14:45:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2022/01/18 (16:58:41) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (16:59:02) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:00:09) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:01:00) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:01:13) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:01:20) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:01:32) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:01:47) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:04:04) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:04:13) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:04:58) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:05:37) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:05:54) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:06:04) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:07:56) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:08:14) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:09:38) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:09:58) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:11:42) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:13:44) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:14:53) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:15:56) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:16:07) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:17:41) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:20:08) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:20:17) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:21:27) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:22:40) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:24:15) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:25:06) | ERROR: Stall in Runner thread, restarting!

2022/01/18 (20:28:36) | ===> btop++ v.1.1.4
2022/01/18 (20:28:36) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/18 (20:28:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
